"Electricity statistics (MW/GWh) by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area";"Technology";"Data Type";"Grid connection";"Year";Electricity statistics (MW/GWh)
"Algeria";"Onshore wind energy";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Algeria";"Onshore wind energy";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Algeria";"Onshore wind energy";"Electricity Generation (GWh)";"All";"2000";-
"Algeria";"Onshore wind energy";"Electricity Generation (GWh)";"On-grid";"2000";-
"Algeria";"Onshore wind energy";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Algeria";"Offshore wind energy";"Electricity Installed Capacity (MW)";"All";"2000";-
"Algeria";"Offshore wind energy";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Algeria";"Offshore wind energy";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Algeria";"Offshore wind energy";"Electricity Generation (GWh)";"All";"2000";-
"Algeria";"Offshore wind energy";"Electricity Generation (GWh)";"On-grid";"2000";-
"Algeria";"Offshore wind energy";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Algeria";"Renewable hydropower";"Electricity Installed Capacity (MW)";"All";"2000";276.6000
"Algeria";"Renewable hydropower";"Electricity Installed Capacity (MW)";"On-grid";"2000";276.6000
"Algeria";"Renewable hydropower";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Algeria";"Renewable hydropower";"Electricity Generation (GWh)";"All";"2000";54.0000
"Algeria";"Renewable hydropower";"Electricity Generation (GWh)";"On-grid";"2000";54.0000
"Algeria";"Renewable hydropower";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Algeria";"Mixed Hydro Plants";"Electricity Installed Capacity (MW)";"All";"2000";-
"Algeria";"Mixed Hydro Plants";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Algeria";"Mixed Hydro Plants";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Algeria";"Mixed Hydro Plants";"Electricity Generation (GWh)";"All";"2000";-
"Algeria";"Mixed Hydro Plants";"Electricity Generation (GWh)";"On-grid";"2000";-
"Algeria";"Mixed Hydro Plants";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Algeria";"Marine energy";"Electricity Installed Capacity (MW)";"All";"2000";-
"Algeria";"Marine energy";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Algeria";"Marine energy";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Algeria";"Marine energy";"Electricity Generation (GWh)";"All";"2000";-
"Algeria";"Marine energy";"Electricity Generation (GWh)";"On-grid";"2000";-
"Algeria";"Marine energy";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Algeria";"Solid biofuels";"Electricity Installed Capacity (MW)";"All";"2000";-
"Algeria";"Solid biofuels";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Algeria";"Solid biofuels";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Algeria";"Solid biofuels";"Electricity Generation (GWh)";"All";"2000";-
"Algeria";"Solid biofuels";"Electricity Generation (GWh)";"On-grid";"2000";-
"Algeria";"Solid biofuels";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Algeria";"Renewable municipal waste";"Electricity Installed Capacity (MW)";"All";"2000";-
"Algeria";"Renewable municipal waste";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Algeria";"Renewable municipal waste";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Algeria";"Renewable municipal waste";"Electricity Generation (GWh)";"All";"2000";-
"Algeria";"Renewable municipal waste";"Electricity Generation (GWh)";"On-grid";"2000";-
